Model,MAE,RMSE,MAPE,Directional_Accuracy
Random Walk,259.11657867045716,259.1165825262334,435.57503251262887,0.4954499494438827
LSTM,254.9515786704572,254.95158258922308,428.5737618489587,0.4954499494438827
LSTM-GARCH Hybrid,254.9515786704572,254.95158258922308,428.5737618489587,0.4954499494438827
